TUMOURICDSITE3CODE,OPCSRESECTIONCODE
C72,A068
C72,A069
C72,A171
C72,A291
C72,A292
C72,A293
C72,A294
C72,A295
C72,A296
C72,A297
C72,A298
C72,A299
C72,A381
C72,A382
C72,A383
C72,A384
C72,A385
C72,A386
C72,A388
C72,A389
C72,A431
C72,A432
C72,A438
C72,A439
C72,A441
C72,A442
C72,A443
C72,A444
C72,A445
C72,A448
C72,A449
C72,A511
C72,A571
C72,A598
C72,A611
C72,B012
C72,B013
C72,B014
C72,B018
C72,B019
C72,B041
C72,B061
C72,B068
C72,C021
C72,V051
C72,V074
C72,V291
C72,V312
C72,V318
C72,V319
C72,V331
C72,V339
C72,V351
C72,V431
C72,V432
C72,V433
C72,V438
C72,V439
C75BRAIN,A011
C75BRAIN,A012
C75BRAIN,A013
C75BRAIN,A018
C75BRAIN,A019
C75BRAIN,A021
C75BRAIN,A022
C75BRAIN,A023
C75BRAIN,A024
C75BRAIN,A025
C75BRAIN,A026
C75BRAIN,A028
C75BRAIN,A029
C75BRAIN,A068
C75BRAIN,A069
C75BRAIN,A171
C75BRAIN,A291
C75BRAIN,A292
C75BRAIN,A293
C75BRAIN,A294
C75BRAIN,A295
C75BRAIN,A296
C75BRAIN,A297
C75BRAIN,A298
C75BRAIN,A299
C75BRAIN,A381
C75BRAIN,A382
C75BRAIN,A383
C75BRAIN,A384
C75BRAIN,A385
C75BRAIN,A386
C75BRAIN,A388
C75BRAIN,A389
C75BRAIN,A431
C75BRAIN,A432
C75BRAIN,A438
C75BRAIN,A439
C75BRAIN,A441
C75BRAIN,A442
C75BRAIN,A443
C75BRAIN,A444
C75BRAIN,A445
C75BRAIN,A448
C75BRAIN,A449
C75BRAIN,A511
C75BRAIN,A571
C75BRAIN,A598
C75BRAIN,A611
C75BRAIN,B012
C75BRAIN,B013
C75BRAIN,B014
C75BRAIN,B018
C75BRAIN,B019
C75BRAIN,B041
C75BRAIN,B061
C75BRAIN,B068
C75BRAIN,C021
C75BRAIN,V051
C75BRAIN,V074
C75BRAIN,V291
C75BRAIN,V312
C75BRAIN,V318
C75BRAIN,V319
C75BRAIN,V331
C75BRAIN,V339
C75BRAIN,V351
C75BRAIN,V431
C75BRAIN,V432
C75BRAIN,V433
C75BRAIN,V438
C75BRAIN,V439
D09BLADDER,M341
D09BLADDER,M342
D09BLADDER,M343
D09BLADDER,M344
D09BLADDER,M348
D09BLADDER,M349
D09BLADDER,M359
D09BLADDER,X142
D29TESTES,N051
D29TESTES,N052
D29TESTES,N053
